year,5.0%_CO2,3.0%_CO2,2.5%_CO2,3% 95th Pct._CO2,5.0%_CH4,3.0%_CH4,2.5%_CH4,3% 95th Pct._CH4,5.0%_N2O,3.0%_N2O,2.5%_N2O,3% 95th Pct._N2O
2020,14.476,51.082,76.421,151.608,665.688,1485.078,1953.209,3906.371,5779.426,18405.298,27130.806,48255.974
2021,14.964,52.150,77.727,155.119,692.917,1532.015,2008.649,4034.779,5981.400,18842.379,27687.532,49463.691
2022,15.453,53.219,79.033,158.629,720.147,1578.952,2064.090,4163.187,6183.373,19279.460,28244.259,50671.409
2023,15.942,54.287,80.339,162.139,747.376,1625.890,2119.530,4291.595,6385.347,19716.542,28800.985,51879.127
2024,16.431,55.355,81.645,165.650,774.605,1672.827,2174.970,4420.003,6587.321,20153.623,29357.712,53086.844
2025,16.919,56.423,82.951,169.160,801.834,1719.764,2230.410,4548.410,6789.294,20590.704,29914.439,54294.562
2026,17.408,57.491,84.257,172.670,829.063,1766.701,2285.851,4676.818,6991.268,21027.785,30471.165,55502.279
2027,17.897,58.560,85.563,176.181,856.292,1813.639,2341.291,4805.226,7193.242,21464.867,31027.892,56709.997
2028,18.386,59.628,86.869,179.691,883.521,1860.576,2396.731,4933.634,7395.215,21901.948,31584.618,57917.715
2029,18.874,60.696,88.175,183.201,910.750,1907.513,2452.171,5062.042,7597.189,22339.029,32141.345,59125.432
2030,19.363,61.764,89.481,186.712,937.979,1954.450,2507.612,5190.450,7799.163,22776.110,32698.071,60333.150
2031,19.947,62.908,90.844,190.535,972.355,2009.824,2571.507,5344.225,8046.879,23268.020,33309.463,61692.265
2032,20.530,64.052,92.207,194.359,1006.731,2065.198,2635.403,5498.001,8294.595,23759.929,33920.854,63051.381
2033,21.114,65.196,93.570,198.183,1041.107,2120.572,2699.299,5651.776,8542.311,24251.838,34532.245,64410.496
2034,21.697,66.340,94.934,202.006,1075.483,2175.946,2763.195,5805.552,8790.027,24743.748,35143.636,65769.611
2035,22.281,67.484,96.297,205.830,1109.859,2231.320,2827.091,5959.327,9037.743,25235.657,35755.028,67128.727
2036,22.864,68.628,97.660,209.654,1144.235,2286.694,2890.986,6113.103,9285.459,25727.567,36366.419,68487.842
2037,23.448,69.772,99.023,213.477,1178.611,2342.068,2954.882,6266.878,9533.175,26219.476,36977.810,69846.958
2038,24.031,70.916,100.387,217.301,1212.987,2397.441,3018.778,6420.653,9780.891,26711.385,37589.202,71206.073
2039,24.615,72.060,101.750,221.124,1247.363,2452.815,3082.674,6574.429,10028.607,27203.295,38200.593,72565.188
2040,25.199,73.204,103.113,224.948,1281.739,2508.189,3146.569,6728.204,10276.323,27695.204,38811.984,73924.304
2041,25.845,74.350,104.449,228.448,1319.241,2564.102,3209.556,6872.909,10566.545,28224.594,39456.170,75348.507
2042,26.491,75.496,105.785,231.947,1356.743,2620.014,3272.542,7017.614,10856.768,28753.983,40100.356,76772.710
2043,27.137,76.642,107.120,235.447,1394.244,2675.927,3335.528,7162.319,11146.991,29283.373,40744.542,78196.914
2044,27.783,77.788,108.456,238.947,1431.746,2731.839,3398.515,7307.023,11437.213,29812.763,41388.727,79621.117
2045,28.429,78.933,109.792,242.447,1469.247,2787.751,3461.501,7451.728,11727.436,30342.152,42032.913,81045.320
2046,29.076,80.079,111.128,245.946,1506.749,2843.664,3524.487,7596.433,12017.659,30871.542,42677.099,82469.524
2047,29.722,81.225,112.464,249.446,1544.250,2899.576,3587.474,7741.138,12307.881,31400.932,43321.285,83893.727
2048,30.368,82.371,113.799,252.946,1581.752,2955.489,3650.460,7885.842,12598.104,31930.321,43965.471,85317.930
2049,31.014,83.516,115.135,256.445,1619.253,3011.401,3713.446,8030.547,12888.327,32459.711,44609.656,86742.134
2050,31.660,84.662,116.471,259.945,1656.755,3067.314,3776.432,8175.252,13178.549,32989.101,45253.842,88166.337
